ID;Cost_claims_year;Cost_claims_by_type;Claims_type
15770;561.65;520.29;complaint
15770;561.65;41.36;travel assistance
15793;81.13;81.13;travel assistance
15802;160.57;65.86;travel assistance
15802;160.57;94.71;travel assistance
15803;398.94;398.94;travel assistance
15819;48.64;48.64;travel assistance
15822;164.29;14.04;travel assistance
15822;164.29;150.25;travel assistance
15834;180.05;180.05;complaint
15839;323.4;323.4;broken windows
15848;4400.21;4400.21;negligence
15868;187.06;187.06;complaint
15869;1448.3;1448.3;complaint
15870;1862.55;1702;negligence
15870;1862.55;97.82;travel assistance
15870;1862.55;62.73;travel assistance
15873;466.88;426.72;complaint
15873;466.88;40.16;travel assistance
15874;134.6;134.6;complaint
15877;380.45;380.45;broken windows
15893;56.85;56.85;travel assistance
15894;51.95;51.95;travel assistance
15903;48.64;48.64;travel assistance
15938;62.28;62.28;travel assistance
15943;56.85;56.85;travel assistance
15950;59.04;59.04;travel assistance
15959;2587.13;2587.13;negligence
15960;112.52;112.52;travel assistance
15963;1094.62;1045.98;other
15963;1094.62;48.64;travel assistance
15994;233.92;233.92;travel assistance
15996;64.35;64.35;travel assistance
16001;211.27;58.53;travel assistance
16001;211.27;152.74;travel assistance
16005;48.5;48.5;travel assistance
16021;102.51;102.51;travel assistance
16022;2234.33;2184.15;all risks
16022;2234.33;50.18;travel assistance
16036;131.48;131.48;travel assistance
16051;104.88;104.88;travel assistance
16052;101.2;101.2;travel assistance
16069;316.82;316.82;complaint
16076;171.05;49.95;travel assistance
16076;171.05;0;negligence
16076;171.05;121.1;travel assistance
16084;882;882;negligence
16085;403.77;403.77;complaint
16088;684.44;458.12;theft
16088;684.44;153.44;broken windows
16088;684.44;72.88;travel assistance
16111;90.75;90.75;travel assistance
16116;952.74;70.74;travel assistance
16116;952.74;882;negligence
16118;56.85;56.85;travel assistance
16133;303.16;122.1;travel assistance
16133;303.16;62.28;travel assistance
16133;303.16;118.78;travel assistance
16142;421.78;421.78;complaint
16144;137.88;137.88;travel assistance
16148;630.96;392.19;negligence
16148;630.96;113.68;complaint
16148;630.96;125.09;travel assistance
16161;3252.91;3252.91;complaint
16173;103.79;103.79;travel assistance
16174;49.56;49.56;broken windows
16181;882;882;negligence
16194;148.84;148.84;travel assistance
16196;156.19;68.32;complaint
16196;156.19;87.87;travel assistance
16205;50.09;50.09;travel assistance
16212;1874.69;520.63;broken windows
16212;1874.69;108.08;travel assistance
16212;1874.69;1245.98;negligence
16218;56.85;56.85;travel assistance
16223;148.32;148.32;travel assistance
16227;87.99;87.99;travel assistance
16232;938.85;882;negligence
16232;938.85;56.85;travel assistance
16233;117.07;117.07;complaint
16246;210.85;210.85;complaint
16252;938.99;56.99;travel assistance
16252;938.99;882;negligence
16266;439.97;439.97;complaint
16294;335.85;335.85;travel assistance
16300;371.7;250.04;complaint
16300;371.7;48.64;travel assistance
16300;371.7;73.02;travel assistance
16313;5082.92;51.95;travel assistance
16313;5082.92;222.32;travel assistance
16313;5082.92;4808.65;all risks
16338;556.63;556.63;complaint
16341;1126.44;306.44;travel assistance
16341;1126.44;820;injuries
16364;131.41;48.64;travel assistance
16364;131.41;82.77;travel assistance
16374;114.9;114.9;travel assistance
16376;4683;4683;complaint
16379;173.63;56.85;travel assistance
16379;173.63;116.78;travel assistance
16394;882;882;negligence
16432;151.04;56.99;travel assistance
16432;151.04;94.05;travel assistance
16433;671.72;582.86;broken windows
16433;671.72;88.86;travel assistance
16448;152.66;76.33;travel assistance
16448;152.66;76.33;travel assistance
16458;882;882;negligence
16490;151.67;151.67;travel assistance
16530;80.17;80.17;broken windows
16533;464.04;464.04;broken windows
16554;114.89;114.89;travel assistance
16561;882;882;negligence
16574;667.94;667.94;broken windows
16579;479.85;412.74;complaint
16579;479.85;67.11;travel assistance
16581;153.14;122.91;complaint
16581;153.14;30.23;travel assistance
16597;152.92;152.92;travel assistance
16612;151.59;151.59;travel assistance
16613;175.91;49.95;travel assistance
16613;175.91;125.96;travel assistance
16621;1064.03;1064.03;negligence
16627;69.69;69.69;travel assistance
16629;222.99;76.71;travel assistance
16629;222.99;146.28;travel assistance
16630;50.09;50.09;travel assistance
16643;106.3;106.3;broken windows
16648;67.25;67.25;travel assistance
16659;146.05;60.11;travel assistance
16659;146.05;85.94;complaint
16709;54.02;54.02;travel assistance
16730;179.43;179.43;travel assistance
16741;606;606;negligence
16746;218.05;218.05;broken windows
16760;540.67;540.67;complaint
16768;2496.95;2496.95;broken windows
16770;138.9;138.9;complaint
16771;96.88;96.88;travel assistance
16794;165.64;165.64;travel assistance
16825;882;882;negligence
16832;306.16;306.16;complaint
16836;973.47;882;negligence
16836;973.47;91.47;travel assistance
16848;67.11;67.11;travel assistance
16851;520.54;520.54;complaint
16865;176.26;176.26;travel assistance
16887;2392.64;655.8;injuries
16887;2392.64;325.98;all risks
16887;2392.64;1410.86;all risks
16897;115.06;115.06;travel assistance
16917;520.48;520.48;complaint
16928;4465.07;4465.07;all risks
16945;426.98;426.98;complaint
16970;719.1;719.1;broken windows
16975;442.77;442.77;complaint
16982;243.48;243.48;all risks
16987;982.55;7.26;all risks
16987;982.55;975.29;all risks
16988;124.59;124.59;travel assistance
17030;1961.85;1961.85;complaint
17064;190.29;190.29;all risks
17069;160.56;160.56;travel assistance
17080;52.09;52.09;travel assistance
17105;381.46;249.15;travel assistance
17105;381.46;132.31;travel assistance
17135;129.37;129.37;negligence
17144;4183.88;4131.93;negligence
17144;4183.88;51.95;travel assistance
17158;70.57;70.57;travel assistance
17185;161.21;161.21;broken windows
17192;88.35;0;negligence
17192;88.35;88.35;travel assistance
17207;240.51;240.51;broken windows
17210;696.76;696.76;complaint
17245;105.16;105.16;travel assistance
17257;243.55;243.55;broken windows
17266;502.91;51.95;travel assistance
17266;502.91;450.96;broken windows
17267;1163.64;144.75;all risks
17267;1163.64;288.65;all risks
17267;1163.64;730.24;all risks
17270;96.86;96.86;travel assistance
17275;215.18;215.18;complaint
17277;168.61;168.61;travel assistance
17312;52.09;52.09;travel assistance
17324;88.44;88.44;travel assistance
17342;85.01;85.01;broken windows
17348;109.4;109.4;travel assistance
17355;444.04;444.04;all risks
17357;104.3;104.3;travel assistance
17360;6012.89;6012.89;all risks
17372;67.11;67.11;travel assistance
17379;2255.02;1767.12;negligence
17379;2255.02;177.38;travel assistance
17379;2255.02;310.52;broken windows
17383;2851.87;2851.87;complaint
17394;882;882;negligence
17398;8181.12;2692.95;negligence
17398;8181.12;5371.77;negligence
17398;8181.12;116.4;travel assistance
17403;62.57;62.57;travel assistance
17409;58.8;58.8;travel assistance
17412;925.34;925.34;negligence
17427;271.35;219.26;theft
17427;271.35;52.09;travel assistance
17429;45.33;45.33;travel assistance
17443;52.09;52.09;travel assistance
17451;74.89;74.89;travel assistance
17469;489.63;489.63;complaint
17478;537.31;537.31;complaint
17485;61.66;61.66;travel assistance
17489;360.62;360.62;broken windows
17503;1214.22;1214.22;all risks
17535;1869.51;1154.14;all risks
17535;1869.51;715.37;broken windows
17554;94.05;94.05;travel assistance
17560;340.79;242.34;complaint
17560;340.79;98.45;travel assistance
17561;49.95;49.95;travel assistance
17578;64.46;64.46;travel assistance
17607;399.49;299.06;broken windows
17607;399.49;100.43;broken windows
17629;181.5;181.5;negligence
17645;267.22;267.22;complaint
17653;737.28;737.28;complaint
17657;3465.52;3365.29;complaint
17657;3465.52;100.23;travel assistance
17661;116.75;61.86;travel assistance
17661;116.75;54.89;travel assistance
17664;139.39;139.39;travel assistance
17667;14597.12;14597.12;negligence
17677;160.42;160.42;broken windows
17681;61.86;61.86;travel assistance
17688;259.63;138.96;travel assistance
17688;259.63;56.32;travel assistance
17688;259.63;64.35;travel assistance
17701;85.86;85.86;travel assistance
17704;117.06;49.95;travel assistance
17704;117.06;67.11;travel assistance
17709;238.73;56.32;travel assistance
17709;238.73;182.41;travel assistance
17721;718.26;192.63;complaint
17721;718.26;29.82;travel assistance
17721;718.26;495.81;complaint
17726;122.55;51.95;travel assistance
17726;122.55;70.6;travel assistance
17727;70.18;70.18;broken windows
17760;297.48;147.23;travel assistance
17760;297.48;150.25;travel assistance
17761;141.81;51.95;travel assistance
17761;141.81;89.86;travel assistance
17763;100.23;100.23;travel assistance
17790;50.09;50.09;travel assistance
17790;50.09;0;negligence
17805;6089.46;5999.6;negligence
17805;6089.46;89.86;travel assistance
17807;52.09;52.09;travel assistance
17818;883.57;270.35;complaint
17818;883.57;613.22;complaint
17886;138.61;71.36;travel assistance
17886;138.61;67.25;travel assistance
17895;81.99;81.99;broken windows
17896;88.98;88.98;complaint
17898;104.52;104.52;travel assistance
17901;496.93;496.93;complaint
17919;74.89;74.89;travel assistance
17926;54.89;54.89;travel assistance
17927;217.36;150.25;travel assistance
17927;217.36;67.11;travel assistance
17943;69.7;69.7;travel assistance
17965;100.04;50.09;travel assistance
17965;100.04;49.95;travel assistance
17970;335.07;335.07;broken windows
17986;200.53;200.53;broken windows
17989;197.72;115.83;travel assistance
17989;197.72;81.89;travel assistance
18003;432.29;145.98;complaint
18003;432.29;286.31;negligence
18007;171.48;171.48;travel assistance
18019;60.69;60.69;broken windows
18023;58.37;58.37;travel assistance
18046;970;970;complaint
18051;3193.47;3076.11;negligence
18051;3193.47;117.36;travel assistance
18076;52.09;52.09;travel assistance
18090;3460.22;259.39;all risks
18090;3460.22;167.63;broken windows
18090;3460.22;3033.2;all risks
18093;218.74;128.94;travel assistance
18093;218.74;89.8;travel assistance
18099;63.34;63.34;travel assistance
18102;58.37;58.37;travel assistance
18117;7735.86;7735.86;negligence
18157;84.64;84.64;travel assistance
18180;944.67;51.95;travel assistance
18180;944.67;892.72;negligence
18189;336.16;221;complaint
18189;336.16;115.16;complaint
18193;256.84;256.84;travel assistance
18197;286.29;286.29;broken windows
18202;1808.84;1808.84;complaint
18203;100.24;100.24;travel assistance
18211;56.39;56.39;travel assistance
18244;2821.81;49.95;travel assistance
18244;2821.81;2771.86;all risks
18249;1108.64;55.18;travel assistance
18249;1108.64;77.5;travel assistance
18249;1108.64;882;negligence
18249;1108.64;93.96;travel assistance
18251;136.77;136.77;travel assistance
18257;55.76;55.76;travel assistance
18269;390.53;390.53;complaint
18273;2229.67;2229.67;all risks
18299;1753.18;1753.18;complaint
18330;136.37;136.37;travel assistance
18360;64.46;64.46;travel assistance
18366;930.5;882;negligence
18366;930.5;48.5;travel assistance
18372;251.07;251.07;complaint
18381;3084.12;3008.27;complaint
18381;3084.12;75.85;travel assistance
18385;49.13;49.13;travel assistance
18386;232.48;232.48;complaint
18392;327.74;327.74;broken windows
18394;81.37;81.37;travel assistance
18419;882;882;negligence
18429;367.71;367.71;complaint
18433;93.36;93.36;travel assistance
18439;284.63;284.63;travel assistance
18441;292.09;292.09;complaint
18443;74.98;74.98;travel assistance
18448;1717.9;1451.6;negligence
18448;1717.9;266.3;broken windows
18452;63.17;63.17;travel assistance
18465;151.72;151.72;travel assistance
18473;220.26;64.46;travel assistance
18473;220.26;55.9;travel assistance
18473;220.26;49.95;travel assistance
18473;220.26;49.95;travel assistance
18476;1329.98;1329.98;all risks
18477;50.09;50.09;travel assistance
18495;376.12;376.12;complaint
18496;56.63;56.63;travel assistance
18498;476.37;162.66;travel assistance
18498;476.37;313.71;travel assistance
18511;272.14;272.14;broken windows
18514;349.58;349.58;broken windows
18533;56.32;56.32;travel assistance
18539;138.92;73.33;travel assistance
18539;138.92;65.59;travel assistance
18540;231.21;92.33;travel assistance
18540;231.21;138.88;broken windows
18554;56.53;56.53;travel assistance
18560;1103.53;1103.53;complaint
18564;95.77;70.36;travel assistance
18564;95.77;25.41;all risks
18573;50.09;50.09;travel assistance
18575;105.02;105.02;travel assistance
18581;49.27;49.27;travel assistance
18593;246.75;246.75;broken windows
18598;388.46;388.46;all risks
18618;217.22;168.72;complaint
18618;217.22;48.5;travel assistance
18621;1490.71;1490.71;all risks
18625;95.18;95.18;travel assistance
18630;63.65;63.65;complaint
18671;48.5;48.5;travel assistance
18695;101.98;48.64;travel assistance
18695;101.98;53.34;travel assistance
18705;85.01;85.01;broken windows
18706;63.17;63.17;travel assistance
18707;87.99;87.99;travel assistance
18710;1804.81;1804.81;negligence
18711;1341.87;300.87;negligence
18711;1341.87;21.99;travel assistance
18711;1341.87;218.31;complaint
18711;1341.87;576.95;all risks
18711;1341.87;223.76;complaint
18717;104.19;104.19;complaint
18733;3878.99;3878.99;all risks
18735;730.6;730.6;complaint
18753;259.65;259.65;broken windows
18760;260.07;145.84;travel assistance
18760;260.07;114.23;travel assistance
18763;87.29;87.29;travel assistance
18765;63.74;63.74;travel assistance
18777;634.95;634.95;travel assistance
18780;176.09;51.95;travel assistance
18780;176.09;124.14;travel assistance
18785;110.53;110.53;travel assistance
18790;74.23;74.23;travel assistance
18795;526.78;526.78;broken windows
18797;882;882;negligence
18812;67.25;67.25;travel assistance
18843;86.87;86.87;travel assistance
18850;62.56;62.56;travel assistance
18868;684.53;684.53;complaint
18869;51.95;51.95;travel assistance
18884;109.6;109.6;travel assistance
18889;78.76;78.76;travel assistance
18914;63.69;63.69;complaint
18920;157.86;157.86;travel assistance
18927;100.68;100.68;travel assistance
18931;313.91;313.91;travel assistance
18945;102.07;102.07;travel assistance
18983;2070.08;389.53;complaint
18983;2070.08;32.4;travel assistance
18983;2070.08;1648.15;negligence
18996;81.93;81.93;travel assistance
19006;882;882;negligence
19010;1093.64;1093.64;broken windows
19014;134.5;67.25;travel assistance
19014;134.5;67.25;travel assistance
19021;76.95;76.95;travel assistance
19024;70.94;70.94;travel assistance
19044;202.49;202.49;travel assistance
19057;88.82;88.82;travel assistance
19062;77.37;77.37;travel assistance
19103;50.09;50.09;travel assistance
19108;81.7;81.7;travel assistance
19131;236.3;80.58;travel assistance
19131;236.3;80.58;travel assistance
19131;236.3;75.14;travel assistance
19133;232.23;232.23;travel assistance
19135;515.98;515.98;complaint
19147;135.8;62.48;complaint
19147;135.8;73.32;travel assistance
19179;4705.54;113.95;travel assistance
19179;4705.54;386.66;travel assistance
19179;4705.54;142.93;travel assistance
19179;4705.54;4062;negligence
19181;573.47;0;complaint
19181;573.47;573.47;complaint
19184;67.11;67.11;travel assistance
19186;100.54;100.54;travel assistance
19218;270.91;180.91;travel assistance
19218;270.91;90;travel assistance
19219;2470.33;2470.33;negligence
19220;277.02;277.02;broken windows
19225;1171.86;257.92;travel assistance
19225;1171.86;913.94;negligence
19235;89.8;89.8;travel assistance
19250;304.13;304.13;travel assistance
19252;51.95;51.95;travel assistance
19262;538.99;538.99;broken windows
19278;1765.75;315.12;broken windows
19278;1765.75;1450.63;all risks
19290;52.09;52.09;travel assistance
19313;67.11;67.11;travel assistance
19325;352.63;352.63;complaint
19331;136.56;52.09;travel assistance
19331;136.56;84.47;travel assistance
19334;82.54;82.54;travel assistance
19351;970.75;882;negligence
19351;970.75;88.75;complaint
19352;61.17;61.17;travel assistance
19364;5767.37;103.96;travel assistance
19364;5767.37;5663.41;complaint
19395;354.32;354.32;all risks
19397;51.95;51.95;travel assistance
19402;228.93;166.5;broken windows
19402;228.93;62.43;travel assistance
19404;193.73;193.73;travel assistance
19407;2668.67;2668.67;all risks
19411;248.1;248.1;complaint
19412;67.25;67.25;travel assistance
19417;60.62;0;complaint
19417;60.62;60.62;travel assistance
19434;197.2;99.58;travel assistance
19434;197.2;97.62;travel assistance
19442;165.14;165.14;travel assistance
19455;109.37;109.37;complaint
19457;67.11;67.11;travel assistance
19474;66.2;66.2;travel assistance
19477;161.63;161.63;broken windows
19494;2466.57;2466.57;negligence
19495;466.95;120.32;travel assistance
19495;466.95;346.63;complaint
19505;1079.87;77.44;broken windows
19505;1079.87;882;negligence
19505;1079.87;120.43;broken windows
19513;464.04;108.61;travel assistance
19513;464.04;355.43;broken windows
19515;614.29;614.29;complaint
19521;3812.14;3224.8;complaint
19521;3812.14;347.41;travel assistance
19521;3812.14;239.93;travel assistance
19529;180.73;180.73;broken windows
19536;52.09;52.09;travel assistance
19538;248.58;248.58;broken windows
19544;159.34;67.25;travel assistance
19544;159.34;92.09;travel assistance
19558;882;882;negligence
19560;738.8;738.8;complaint
19566;4044.57;75.28;travel assistance
19566;4044.57;3969.29;complaint
19598;612.6;169.78;travel assistance
19598;612.6;54.02;travel assistance
19598;612.6;388.8;broken windows
19619;75.14;75.14;travel assistance
19641;64.32;64.32;travel assistance
19644;2037.99;2037.99;complaint
19645;593.58;593.58;complaint
19665;306.35;306.35;broken windows
19676;288.04;235.95;negligence
19676;288.04;52.09;travel assistance
19682;116.09;116.09;travel assistance
19727;91.61;91.61;travel assistance
19752;216.84;216.84;travel assistance
19770;76.95;76.95;travel assistance
19775;458.26;458.26;negligence
19800;58.67;58.67;travel assistance
19803;259.41;259.41;complaint
19813;777.61;777.61;travel assistance
19817;1067.1;1067.1;complaint
19823;197.15;51.95;travel assistance
19823;197.15;145.2;negligence
19828;83.64;83.64;travel assistance
19831;50.09;50.09;travel assistance
19836;175.8;116.09;travel assistance
19836;175.8;59.71;travel assistance
19855;882;882;negligence
19862;86.03;86.03;travel assistance
19866;2227;2227;negligence
19884;170.73;170.73;travel assistance
19885;211.22;211.22;travel assistance
19888;2238.99;2238.99;complaint
19890;68.83;68.83;travel assistance
19900;182.34;75.14;travel assistance
19900;182.34;107.2;travel assistance
19911;140.16;140.16;travel assistance
19913;114.13;114.13;travel assistance
19915;148.41;148.41;travel assistance
19918;82.4;82.4;travel assistance
19920;155.13;79.28;travel assistance
19920;155.13;75.85;travel assistance
19931;51.95;51.95;travel assistance
19940;3592.99;1279.45;complaint
19940;3592.99;2313.54;negligence
19955;191.98;102.12;travel assistance
19955;191.98;89.86;travel assistance
19959;67.11;67.11;travel assistance
19965;120.51;120.51;travel assistance
20003;3333.99;3220.16;negligence
20003;3333.99;113.83;travel assistance
20036;51.95;51.95;travel assistance
20047;51.95;51.95;travel assistance
20051;1537.68;1537.68;complaint
20065;84.35;84.35;travel assistance
20067;150.25;150.25;travel assistance
20078;533.52;533.52;complaint
20086;882;882;negligence
20114;1080.97;68.02;travel assistance
20114;1080.97;1012.95;complaint
20126;91;91;negligence
20139;3706.96;116.88;travel assistance
20139;3706.96;3590.08;negligence
20143;67.11;67.11;travel assistance
20156;59.72;59.72;complaint
20162;2784.4;67.25;travel assistance
20162;2784.4;2717.15;negligence
20173;103.9;51.95;travel assistance
20173;103.9;51.95;travel assistance
20174;143.79;143.79;travel assistance
20178;346.38;346.38;complaint
20191;259.97;259.97;travel assistance
20192;67.11;0;complaint
20192;67.11;67.11;travel assistance
20224;882;882;negligence
20227;581.72;581.72;complaint
20238;163.83;89.66;travel assistance
20238;163.83;74.17;travel assistance
20240;67.25;67.25;travel assistance
20259;635.39;635.39;travel assistance
20274;882;882;negligence
20277;165.83;49.56;broken windows
20277;165.83;31.76;broken windows
20277;165.83;84.51;broken windows
20280;51.95;51.95;travel assistance
20281;1509.02;1509.02;all risks
20296;52.09;52.09;travel assistance
20301;116.88;116.88;travel assistance
20303;51.95;51.95;travel assistance
20307;90.48;90.48;travel assistance
20314;130.45;68.02;travel assistance
20314;130.45;62.43;travel assistance
20332;6876.16;154.35;travel assistance
20332;6876.16;6721.81;negligence
20344;536.96;536.96;complaint
20356;280.08;280.08;broken windows
20359;2165;2165;negligence
20377;227.35;100.19;travel assistance
20377;227.35;127.16;travel assistance
20387;50.09;50.09;travel assistance
20398;214.09;146.23;travel assistance
20398;214.09;67.86;travel assistance
20415;303.83;181.98;travel assistance
20415;303.83;121.85;travel assistance
20428;413.78;413.78;complaint
20433;882;882;negligence
20448;719.91;635.58;broken windows
20448;719.91;84.33;travel assistance
20453;92.52;92.52;travel assistance
20478;272.59;67.25;travel assistance
20478;272.59;205.34;complaint
20494;343.26;60.62;travel assistance
20494;343.26;100.85;travel assistance
20494;343.26;79.67;travel assistance
20494;343.26;102.12;travel assistance
20501;853.03;853.03;complaint
20504;80.58;80.58;travel assistance
20504;80.58;0;travel assistance
20505;272.41;272.41;broken windows
20508;3104.15;291.79;broken windows
20508;3104.15;2748.12;negligence
20508;3104.15;64.24;travel assistance
20545;188.26;188.26;travel assistance
20546;82.4;82.4;travel assistance
20558;323.7;323.7;broken windows
20565;40.97;40.97;complaint
20572;13096.77;5690.93;negligence
20572;13096.77;913.94;negligence
20572;13096.77;6439.95;negligence
20572;13096.77;51.95;travel assistance
20574;52.09;52.09;travel assistance
20575;968.2;968.2;negligence
20577;108.47;108.47;travel assistance
20578;104.66;104.66;travel assistance
20585;933.47;863.77;complaint
20585;933.47;69.7;travel assistance
20597;466.09;466.09;negligence
20606;318.24;318.24;broken windows
20628;722.69;213.32;complaint
20628;722.69;211.51;complaint
20628;722.69;269.79;complaint
20628;722.69;28.07;complaint
20653;142.26;142.26;broken windows
20661;50.09;50.09;travel assistance
20662;98.13;98.13;complaint
20681;262.86;262.86;complaint
20686;2661.39;2562.66;negligence
20686;2661.39;98.73;travel assistance
20693;49.9;49.9;complaint
20694;436.08;436.08;travel assistance
20703;298.36;298.36;broken windows
20708;56.08;56.08;travel assistance
20712;56.08;56.08;travel assistance
20736;89.7;89.7;broken windows
20740;43.57;28.22;complaint
20740;43.57;15.35;travel assistance
20742;52.09;52.09;travel assistance
20745;62.43;62.43;travel assistance
20750;51.95;51.95;travel assistance
20751;362.27;170.16;travel assistance
20751;362.27;192.11;travel assistance
20753;882;882;negligence
20756;98.87;98.87;travel assistance
20802;588.47;588.47;complaint
20813;53.28;53.28;travel assistance
20820;817.91;90.39;complaint
20820;817.91;687.05;negligence
20820;817.91;40.47;travel assistance
20830;51.95;51.95;travel assistance
20861;4109.19;4109.19;negligence
20869;209.47;65.29;travel assistance
20869;209.47;144.18;travel assistance
20870;3712.89;3660.8;complaint
20870;3712.89;52.09;travel assistance
20872;52.09;52.09;travel assistance
20892;138.61;66.2;travel assistance
20892;138.61;72.41;travel assistance
20897;238.58;238.58;broken windows
20906;4567.54;4567.54;negligence
20908;71.51;71.51;travel assistance
20920;99.46;99.46;travel assistance
20924;186.17;67.11;travel assistance
20924;186.17;51.95;travel assistance
20924;186.17;67.11;travel assistance
20941;314.64;95.1;travel assistance
20941;314.64;76.95;travel assistance
20941;314.64;142.59;travel assistance
20943;3794.09;3794.09;negligence
20951;128.41;89.39;complaint
20951;128.41;39.02;travel assistance
20964;882;882;negligence
20977;50.09;50.09;travel assistance
20981;52.09;52.09;travel assistance
21001;210.79;106.89;broken windows
21001;210.79;51.95;travel assistance
21001;210.79;51.95;travel assistance
21003;585.25;427.23;complaint
21003;585.25;158.02;travel assistance
21004;214.37;214.37;complaint
21007;243;243;travel assistance
21024;51.95;51.95;travel assistance
21025;244.07;75.32;travel assistance
21025;244.07;168.75;broken windows
21033;3912.21;3912.21;complaint
21038;109.34;109.34;complaint
21041;125.96;125.96;travel assistance
21076;135.47;135.47;travel assistance
21081;4759.83;1509.77;complaint
21081;4759.83;3250.06;negligence
21085;51.95;51.95;travel assistance
21088;63.34;63.34;travel assistance
21094;74.73;20.28;complaint
21094;74.73;23.76;travel assistance
21094;74.73;30.69;travel assistance
21095;211.67;170.6;complaint
21095;211.67;41.07;travel assistance
21101;3449.03;97.26;travel assistance
21101;3449.03;3351.77;negligence
21112;50.09;50.09;travel assistance
21122;303.03;303.03;broken windows
21127;158.02;158.02;travel assistance
21130;226.72;111.58;travel assistance
21130;226.72;115.14;travel assistance
21134;321.29;321.29;broken windows
21141;2213.49;2213.49;negligence
21158;404.56;59.54;travel assistance
21158;404.56;345.02;broken windows
21195;401.77;401.77;complaint
21199;51.95;51.95;travel assistance
21201;338.86;338.86;broken windows
21211;76.71;76.71;travel assistance
21213;334.49;334.49;broken windows
21222;60.25;60.25;travel assistance
21232;3180.08;2998;complaint
21232;3180.08;182.08;travel assistance
21261;326.93;47.59;travel assistance
21261;326.93;47.59;travel assistance
21261;326.93;231.75;travel assistance
21272;52.09;52.09;travel assistance
21274;107.96;107.96;broken windows
21278;88.39;88.39;travel assistance
21287;286.08;286.08;broken windows
21293;278.25;278.25;travel assistance
21294;72.5;72.5;travel assistance
21296;882;882;negligence
21297;87.05;87.05;travel assistance
21314;283.97;80.58;travel assistance
21314;283.97;73.32;travel assistance
21314;283.97;130.07;travel assistance
21316;3811.28;2074.88;complaint
21316;3811.28;1736.4;complaint
21358;1886.82;916.49;negligence
21358;1886.82;970.33;negligence
21361;88.28;88.28;travel assistance
21396;350.22;55.17;travel assistance
21396;350.22;295.05;complaint
21398;58.8;58.8;travel assistance
21402;300.8;71.63;travel assistance
21402;300.8;229.17;travel assistance
21404;59656.65;64.46;travel assistance
21404;59656.65;108.5;travel assistance
21404;59656.65;59483.69;negligence
21407;67.11;67.11;travel assistance
21434;4062;4062;negligence
21437;705.88;705.88;complaint
21465;81.79;81.79;travel assistance
21467;497.11;497.11;complaint
21482;129.19;52.09;travel assistance
21482;129.19;77.1;travel assistance
21493;286;286;broken windows
21502;51.95;51.95;travel assistance
21533;179.78;179.78;all risks
21543;882;882;negligence
21562;244.99;244.99;broken windows
21568;146.19;146.19;broken windows
21582;203.88;203.88;travel assistance
21586;130.74;130.74;travel assistance
21599;484.08;484.08;complaint
21600;300.71;146.73;travel assistance
21600;300.71;67.11;travel assistance
21600;300.71;86.87;travel assistance
21606;973.95;882;negligence
21606;973.95;91.95;travel assistance
21624;67.11;67.11;travel assistance
21629;2262.1;2006.54;other
21629;2262.1;150.54;travel assistance
21629;2262.1;105.02;travel assistance
21637;103.9;51.95;travel assistance
21637;103.9;51.95;travel assistance
21646;76.04;76.04;travel assistance
21652;435.23;320.7;broken windows
21652;435.23;46.46;broken windows
21652;435.23;68.07;broken windows
21652;435.23;0;complaint
21657;318.69;318.69;broken windows
21697;100.77;100.77;travel assistance
21701;67.11;67.11;travel assistance
21709;498.71;133.22;travel assistance
21709;498.71;195.97;complaint
21709;498.71;169.52;travel assistance
21711;169.95;169.95;travel assistance
21733;159.94;27.23;complaint
21733;159.94;132.71;travel assistance
21741;190.76;190.76;travel assistance
21753;137.28;137.28;travel assistance
21758;474.46;474.46;complaint
21762;65.27;65.27;complaint
21763;49.13;49.13;travel assistance
21767;882;882;negligence
21801;66.21;66.21;travel assistance
21822;549.65;549.65;broken windows
21823;13274.65;744.37;complaint
21823;13274.65;12530.28;negligence
21824;239.58;239.58;broken windows
21828;272.12;272.12;broken windows
21831;213.57;213.57;broken windows
21846;80.75;80.75;travel assistance
21847;645.34;417.71;broken windows
21847;645.34;148.35;broken windows
21847;645.34;79.28;travel assistance
21854;1453.75;1453.75;theft
21856;262.33;112.08;travel assistance
21856;262.33;150.25;travel assistance
21863;173.96;173.96;theft
21864;510.3;510.3;broken windows
21870;476.39;160;complaint
21870;476.39;316.39;all risks
21890;75.78;75.78;complaint
21905;150.25;150.25;broken windows
21909;79.24;79.24;broken windows
21913;49.95;49.95;travel assistance
21925;1711.99;1652.45;theft
21925;1711.99;59.54;travel assistance
21926;56.85;56.85;travel assistance
21940;532.71;532.71;complaint
21951;407.2;407.2;complaint
21963;702.89;702.89;complaint
21968;105.16;105.16;travel assistance
21969;280.28;132.45;travel assistance
21969;280.28;80.72;travel assistance
21969;280.28;67.11;travel assistance
21970;134.22;67.11;travel assistance
21970;134.22;67.11;travel assistance
21973;262.18;262.18;travel assistance
21986;9898.24;68.02;travel assistance
21986;9898.24;9830.22;negligence
22005;50.09;50.09;travel assistance
22091;68.78;68.78;travel assistance
22100;882;882;negligence
22111;738.12;73.18;travel assistance
22111;738.12;56.32;travel assistance
22111;738.12;608.62;complaint
22185;99.9;49.95;travel assistance
22185;99.9;49.95;travel assistance
22186;295.29;295.29;complaint
22190;64.46;64.46;travel assistance
22205;83.98;83.98;travel assistance
22207;552.46;552.46;travel assistance
22231;1108.56;312.58;travel assistance
22231;1108.56;795.98;fire
